content,day,time,noon,venue,Id_program,sections,transaction,title,abstract,authors,track,invited,invited_keynote,authors_affiliation
Ferroelectric In2Se3 transistors with multi-terminal plasticity for highly efficient hardware implementation of,11 March 2025 (Tuesday),11:20am,morning," Conference Hall 6&7, 2/F, 8W & 10W",T-13-3-2,11:00am to 12:30pm,EDTM25-000184,Ferroelectric In2Se3 transistors with multi-terminal plasticity for highly efficient hardware implementation of reinforcement learning,"Hardware implementation of reinforcement learning (RL) algorithms with silicon-based circuits requires complex designs with dozens of components. To simplify the conventional design, we demonstrate a synaptic cell with only a single transistor for in-situ RL weight updates. By exploiting the unique in-plane (IP) and out-of-plane (OOP) ferroelectric polarization coupling of In2Se3, we demonstrate multi-terminal synaptic plasticity in RL algorithm with In2Se3 FET, which can realize multi-terminal channel conductance tuning of VDS (> 5 bits, Gmax/Gmin>6) and VGS (>5 bits, Gmax/Gmin>25), respectively. Additionally, the ferroelectric relaxation naturally realizes the eligibility trace decay characteristic in the RL algorithm,which enhanced the performance of the algorithm. We experimentally demonstrate the In2Se3 FET arrays to solve the classical RL benchmark cart-pole task, exhibiting a way for realizing low-power (86 pJ per programming with eligibility trace) and highly area-efficient (10 µm2) hardware chip for reinforcement learning.","Yasai WANG,Weiwei Xiong,Jianmin Yan,Yue Zhou,Chaoyi Zhu,Xiangshui Miao,Yuhui He,Yang Chai","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",0,,"Yasai WANG,Weiwei Xiong,Jianmin Yan,Yue Zhou,Chaoyi Zhu,Xiangshui Miao,Yuhui He,Yang Chai, The Hong Kong Polytechnic University, Hong Kong "
Valley Transistors as Graded Neurons for Accurate Action Recognition,11 March 2025 (Tuesday),11:35am,morning," Conference Hall 6&7, 2/F, 8W & 10W",T-13-3-3,11:00am to 12:30pm,EDTM25-000374,Valley Transistors as Graded Neurons for Accurate Action Recognition,"Neuromorphic computing aims to mimic the neural architecture of the biology to process information efficiently. Valley transistors, with their unique low-power information carrier properties, offer a promising approach for implementing bio-inspired computing systems. This study investigates the use of nonlocal valley transistors as graded neuron. After integrating the graded response properties in  processing tempoeral signals, we have achieved high classification accuracy (95%) of dynamic icons.","Jiewei Chen,Wenxiao Wang,Yue Zhou,Yang Chai","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",0,,"Jiewei Chen,Wenxiao Wang,Yue Zhou,Yang Chai, The Hong Kong Polytechnic University, Hong Kong "
Neuromorphic Multisensory Numerosity Perception Enhanced by a Tactile Glove,11 March 2025 (Tuesday),11:50am,morning," Conference Hall 6&7, 2/F, 8W & 10W",T-13-3-4,11:00am to 12:30pm,EDTM25-000649,Neuromorphic Multisensory Numerosity Perception Enhanced by a Tactile Glove,"Neuromorphic numerosity perception utilizes bioinspired sensory systems to process and interpret numerical information, mimicking how the human brain perceives quantity. Here, we present a tactile glove with gesture-learning capability to enhance neuromorphic numerosity perception, generated by vision or auditory inputs. Equipped with 10 flexible pressure sensors strategically positioned on finger joints, the glove accurately recognizes hand gestures representing numbers. By integrating these tactile signals with visual and auditory cues through multisensory integration, the system significantly improves numerosity perception.","Hongwei Tan,Syed Ashraf,Sebastian Hannula,Bo Peng,Sebastiaan van Dijken,Zhong-Peng Lyu","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",1,[Invited],"Hongwei Tan, Max Planck Institute for Polymer Research, Germany "
Spintronic Stochastic Neuron -based Deep Belief Networks for Image Classification,11 March 2025 (Tuesday),12:10pm,morning," Conference Hall 6&7, 2/F, 8W & 10W",T-13-3-5,11:00am to 12:30pm,EDTM25-000154,Spintronic Stochastic Neuron -based Deep Belief Networks for Image Classification,"Spintronic devices hold promise for AI, particularly in Boltzmann computing architectures, due to their tunable stochastic switching. We demonstrate a SOT-tuned spintronic neuron integrated into a deep belief network for pattern classification. Its switching probability, driven by current, mirrors biological neuron activation through a sigmoid function. Integrated with RBM and logistic regression, the network achieves 97% classification accuracy, stable across temperature variations, underscoring spintronics' potential in robust AI applications.","Aijaz Lone,Meng Tang,Daniel N. Rahimi,Divyanshu Divyanshu,Camelia Florica,Selma Amara,Hossein Fariborzi,Gianluca Setti","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",0,,"Aijaz Lone,Meng Tang,Daniel N. Rahimi,Divyanshu Divyanshu,Camelia Florica,Selma Amara,Hossein Fariborzi,Gianluca Setti, King Abdullah University of Science and Technology, Saudi Arabia "
Materials for Thermal Dissipation Applications in Stacked Devices,11 March 2025 (Tuesday),3:00pm,afternoon," Charles K Kao Auditorium, 1/F, 8W & 10W",T-1-1-1,3:00pm to 4:30pm,EDTM25-000538,Materials for Thermal Dissipation Applications in Stacked Devices,"We tackle the thermal dissipation challenges inherent in three-dimensional (3D) stacked devices and explore innovative strategies to overcome these issues through advancements in materials and processes. Back-end-of-line (BEOL) compatible materials, including aluminum nitride (AlN) and diamond are identified as promising dielectric solutions to enhance thermal management in 3D-stacked architectures. Furthermore, we propose the integration of phonon dispersion-matched bridging layers to effectively mitigate thermal boundary resistance, paving the way for improved thermal performance in stacked devices.","Jin Hao Jhang,Sam Vaziri,Mohamadali Malakoutian,Kuan Kan Hu,Isha Dayte,Che Chi Shih,June Fan Hsu,Jen Po Lin,Yunhui Wu,Wei-Yen Woon,Anna Kasperovich,Rohith Soman,jeongkyu Kim,Hsiao Kuan Wei,Xinyu Bao,Masahiro Nomura,Srabanti Chowdhury,Szuya Sandy Liao",01 Materials,1,[Invited],"Wei-Yen Woon, TSMC, Taiwan "
Innovation of BEOL Technology for New IMD Low-k Film,11 March 2025 (Tuesday),3:20pm,afternoon," Charles K Kao Auditorium, 1/F, 8W & 10W",T-1-1-2,3:00pm to 4:30pm,EDTM25-000596,Innovation of BEOL Technology for New IMD Low-k Film,"The pitch scaling of the logic Back-End of the Line (BEOL) module is deteriorating capacitance of interconnect, which is one of the key factor of performance. Therefore, a number of researches are in progress to improve capacitance performance by lowering effective k-value of inter-metal dielectric (IMD) materials. For conventional IMD materials such as low-k (LK) and ultra low-k (ULK), those are vulnerable to the plasma induced damage (PID) during BEOL integration. As a consequence, an effective k-value of IMD must be deteriorated easily, which leads to serious performance degradation. In this paper, we developed high density low-k (HDLK) materials with higher PID resistance by using a new type of precursor, which is capable of generating bridged-carbon bonding (Si-C-Si). We achieved the 30% reduction of PID with HDLK compared to the conventional IMD. As a result, it resulted in the improvement of the BEOL interconnect capacitance by 3%. Throughout these results, we applied HDLK as a basic IMD material in narrow pitch layers of BEOL interconnect. In addition, we developed a different type of film with same precursor by tuning process conditions, which is called a high density ultra low-k (HDULK). This film is applicable to wider pitches of interconnect owing to remarkable characteristics such as lower k-value, good process integrity. Even though we utilized various precursors for each IMD materials in the past, HDLK and HDULK can be implemented by using just one single precursor. Thus, it is strongly expected to contribute to cost reduction.","Kang Sub YIM,Jong Min Baek,Hoon Seok Seo,Sungbin Park,Geun Tae Yun,Yeonggil Kim,Deokyoung Jung,Kyeongbeom Park,Jangho Lee",01 Materials,1,[Invited],"Kangsub Yim, Samsung, South Korea "
2D Materials for Neuromorphic Computing Devices,11 March 2025 (Tuesday),3:40pm,afternoon," Charles K Kao Auditorium, 1/F, 8W & 10W",T-1-1-3,3:00pm to 4:30pm,EDTM25-000683,2D Materials for Neuromorphic Computing Devices,"Two-dimensional materials show promise for resistive switching devices as building blocks for neuromorphic computing. We explore MoS₂ in different device configurations utilizing ion transport along van der Waals gaps, revealing reduced variability and high yields. We demonstrate volatile switching in vertical bilayer stacks of SiOx and MoS2. We also show lateral MoS2 devices with ultra-low threshold voltages. Temperature-dependent current-voltage data on h-BN memristors elucidate conduction mechanisms for a deeper understanding of the resistive switching mechanism.","Max Lemme,Yuan Fa,Jimin Lee,Sofia Cruces,Lukas Voelkel",01 Materials,1,[Invited],"Max Lemme, RWTH Aachen University, Germany "
High Dielectric Constant of HfO2 Technology for Memory Applications,11 March 2025 (Tuesday),4:00pm,afternoon," Charles K Kao Auditorium, 1/F, 8W & 10W",T-1-1-4,3:00pm to 4:30pm,EDTM25-000400,High Dielectric Constant of HfO2 Technology for Memory Applications,"HfO2 with ferroelectricity has been widely investigated for memory and logic applications, including doped by Zr, Si, La, …etc. The superlamination (SL) technique exhibits higher capacitance and dielectric constant as compared to solid-solution (SS). The maximum dielectric constant achieves as high as 46 for HZZ at [Zr] = 66% with morphotropic phase boundary (MPB) effect. Ferroelectric-based memory of ferroelectric capacitive memory (FCM) has gained significant attention due to the charge transfer concept, which is adopted with the SL technique. The SL technique exhibits higher capacitance and applicable remnant polarization (Pr) benefits for FCM application to demonstrate a CHCS/CLCS ratio of 245x. The feasible concept of coupling the MPB SL Hf1-xZrxO2 is practicable into emerging memory/synapse.","Min-Hung Lee,Zhao-Feng Luo,Chun-Yu Liao,Kuo-Yu Hsiang,Jia-Yang Lee,Fu-Shen Chang,Yii-Tay Chang,Cheng-Hong Liu,Che-Chi Cheng",01 Materials,1,[Invited],"Min-Hung Lee, National Taiwan University, Taiwan "
Phase Change Memory: From Technological Challenges to Materials Science,11 March 2025 (Tuesday),4:20pm,afternoon," Charles K Kao Auditorium, 1/F, 8W & 10W",T-1-1-5,3:00pm to 4:30pm,0.0,Phase Change Memory: From Technological Challenges to Materials Science, ,0.0,01 Materials,0.0,[Invited],"Zhitang Song, Shanghai Institute of Microsystem and Information Technology, CAS, China "
Integration of 2D Ultrafast Flash Memory: From Device to Chip,11 March 2025 (Tuesday),3:00pm,afternoon," Conference Hall 4&5, 2/F, 8W & 10W",T-4-4-1,3:00pm to 4:30pm,EDTM25-000595,Integration of 2D Ultrafast Flash Memory: From Device to Chip,"The introduction of 2D materials has brought a major breakthrough in the performance of flash memory. 2D flash memory can simultaneously achieve ultrafast programming speed and non-volatile memory, bridging the gap between DRAM and silicon-based flash memory. This paper discusses the progress of 2D flash memory in terms of performance breakthrough, integration and channel length scaling. We also give an outlook on future chip-level integration and fabricate a NAND flash circuit for preliminary verification. ","Zhenyuan Cao,Chunsen Liu",04 Memory Technologies,1,[Invited],"Chunsun Liu, Fudan University, China "
High-Frequency Capacitance Measurement Techniques and Their Applications in Memory Technology,11 March 2025 (Tuesday),3:20pm,afternoon," Conference Hall 4&5, 2/F, 8W & 10W",T-4-4-2,3:00pm to 4:30pm,EDTM25-000636,High-Frequency Capacitance Measurement Techniques and Their Applications in Memory Technology Development,"In the era of artificial intelligence and big data, the demand for high-speed and reliable memory technologies is growing rapidly. For semiconductor memories such as DRAM and FeRAM, metal-insulator-metal and metal-insulator-semiconductor capacitors play crucial roles, and their high-frequency characteristics (e.g. from 3MHz to 3GHz) significantly impact the device performance. However, conventional measurement techniques such as the bridge method struggle to provide accurate capacitance values at such frequencies, posing a challenge for memory technology development. In this work, we introduce our recent studies on two high-frequency capacitance measurement techniques: the network analysis method and the transient signal method. The initial results suggest both methods can accurately extract DUT capacitance up to 1GHz, offering valuable insights for memory device innovation.","Jiang Qian,Dan Lv,Lu Wang,Ruiqi Ma,Shuai Kong,Shan-Ting Zhang,Dongdong Li,Liang Zhao",04 Memory Technologies,1,[Invited],"Liang Zhao, Zhejiang University, China "
Reconfigurable magnonic devices for spin-wave manipulation on the nanoscale,11 March 2025 (Tuesday),3:40pm,afternoon," Conference Hall 4&5, 2/F, 8W & 10W",T-4-4-3,3:00pm to 4:30pm,EDTM25-000671,Reconfigurable magnonic devices for spin-wave manipulation on the nanoscale,"Magnonics offers a promising prospect for low-power, wave-based computing. Active control of spin waves is essential for practical realization of magnonic technology. Here we introduce nanoscale magnonic Fabry-Perot (FP) resonators, waveguides, and magnonic crystals (MCs) for low-loss spin-wave guiding and manipulation. These devices are made of an array of ferromagnetic metal (FM) nanostripes patterned on a low-damping yttrium iron garnet (YIG) film. In an array of magnonic FP resonators where two edges of each FM stripe act as two sharp magnetic interfaces, propagating spin waves coherently circulate between the two magnetic interfaces of the resonator and interfere destructively to form transmission gaps with the depth down to the background level. Thus-formed gaps, called as FP gaps, can be reconfigured by switching the magnetization states and efficiently tuned over a wide frequency range via the variation of the stripe width, strip number, and film thickness. When the period between FP resonators meets the Bragg condition, the MCs with deep gaps and low-loss minibands are produced. The MC gaps can also be reconfigured by switching the magnetization states. Moreover, these FP and MC gaps are strongly hybridized when approaching each other, resulting in the gap anti-crossing.  In the magnonic waveguide, the downshift of spin-wave dispersion due to the small effective magnetic field in the YIG and FM region enables the guiding of spin-wave propagation along the nanostripe. We report on low-loss spin-wave channeling in straight and curved nanoscopic waveguides, and further demonstrate reversible control of the spin-wave propagation by changing the frequency and magnetic bias field in a hybrid waveguiding structure. Based on these results, spin-wave filter, multiplexer, and beam splitter using low-loss YIG and FM hybrid structures have been proposed.",Huajun Qin,04 Memory Technologies,1,[Invited],"Huajun Qin, Wuhan University, China "
Adaptive Update Precision with Reduced Iterative Write Cycles for Efficient Training Neural Networks on,11 March 2025 (Tuesday),4:00pm,afternoon," Conference Hall 4&5, 2/F, 8W & 10W",T-4-4-4,3:00pm to 4:30pm,EDTM25-000455,Adaptive Update Precision with Reduced Iterative Write Cycles for Efficient Training Neural Networks on ECRAM arrays,"Training neural networks in large-scale non-volatile memory arrays suffers from stochastic conductance modulation and device variations, requiring closed-loop write iterations to achieve desired update precisions. Here we propose an adaptive algorithm combining static evaluation of network structure and real-time network activity to substantially reduce write iterations without compromising performance. Our method improves energy efficiency by up to ×81 and ×242 for VGG19 and ResNet18, while maintaining high training accuracy.","Peihong Li,Peng Chen,Peng Lin,Gang Pan",04 Memory Technologies,0,,"Peihong Li,Peng Chen,Peng Lin,Gang Pan, Zhejiang University, China "
Enabling Artificial Spiking Sensory Neurons with a Single Flexible VO2 Mott Memristor for Neuromorphic,11 March 2025 (Tuesday),4:15pm,afternoon," Conference Hall 4&5, 2/F, 8W & 10W",T-4-4-5,3:00pm to 4:30pm,EDTM25-000185,Enabling Artificial Spiking Sensory Neurons with a Single Flexible VO2 Mott Memristor for Neuromorphic Sensing,"In this work, we present flexible VO2 Mott memristors with excellent electrical properties, i.e. low operating current (<100 μA), good endurance (>109) and good flexibility (bending radius ~5 mm) for constructing artificial spiking sensory neurons.  As a result, an artificial spiking thermoreceptor (AST) and an artificial spiking photoreceptor (ASP) are both realized by using a single flexible VO2 Mott memristor. With the stimulus temperature elevated from 20 °C to 40 °C, the spiking frequency of AST first increases, then falls off rather quickly to zero at the higher temperature of 45 °C, resembling the response characteristics of biological thermoreceptor. And the ASP has high spike-encoded photosensitivity and ultra-wide photosensing range (405~808 nm). Finally, the spike-based electronic retina is proposed by connecting an array of artificial spiking photoreceptors with multiple-input floating gate MOS transistors acting as optical nerves. Consequently, the color image is successfully segmented and the edges of objects in the image are clearly extracted through the electronic retina by simulation, thus providing a solid foundation for neuromorphic sensing system.","Chuanyu Han,Shujing Zhao,Shengli Fang,Shi Quan Fan,Weihua Liu,Xin Li,Li Geng",04 Memory Technologies,0,,"Chuanyu Han,Shujing Zhao,Shengli Fang,Shi Quan Fan,Weihua Liu,Xin Li,Li Geng, Xi'an Jiaotong University, China "
GIT-Based Bipolar p-FET with Enhanced Conduction Capability on E-mode GaN-on-Si HEMT Platform,11 March 2025 (Tuesday),3:00pm,afternoon," Multifunction Hall 2&3, 2/F, 17W",T-6-4-1,3:00pm to 4:30pm,EDTM25-000323,GIT-Based Bipolar p-FET with Enhanced Conduction Capability on E-mode GaN-on-Si HEMT Platform,"A GIT-based bipolar p-FET (G-BiPFET) structure is introduced to improve the conduction performance of GaN-based p-channel transistors. In G-BiPFET, a GaN-based gate injection transistor is cascaded with a conventional p-FET, boosting the conduction current by utilizing electrons as the majority carriers. The drain current density of the G-BiPFET significantly increases to 77 mA/mm, approximately 77 times higher than that of the conventional p-FET. Additionally, the G-BiPFET maintains a similar ION/IOFF ratio and gate leakage as the conventional p-FET.","Chengcai Wang,Jinjin Tang,Junting Chen,Mengyuan Hua",06 Wide-Bandgap Power and RF Devices,0,,"Chengcai Wang,Jinjin Tang,Junting Chen,Mengyuan Hua, South University of Science and Technology, China "
Effect of Gate Voltage Rise Time on Gate Charges for GaN HEMTs with Partially Depleted p-GaN Cap Layer,11 March 2025 (Tuesday),3:15pm,afternoon," Multifunction Hall 2&3, 2/F, 17W",T-6-4-2,3:00pm to 4:30pm,EDTM25-000069,Effect of Gate Voltage Rise Time on Gate Charges for GaN HEMTs with Partially Depleted p-GaN Cap Layer,"This study explores the effect of gate voltage rise time (tr) on the gate charge (QG) and performance of p-GaN HEMT devices under different temperature conditions. Experiments and TCAD simulations reveal a positive correlation between QG and tr, with the impact weakening at higher temperatures. The incomplete ionization of magnesium acceptors in the p-GaN layer, along with the effect of tr on conduction band energy (EC) and two-dimensional electron gas (2DEG) density, are key factors. These findings provide important insights for loss analysis and the optimization of gate driving strategies for GaN transistors.","Ruize Sun,Renjie Wu,Yunfei Ma,Wenhan Yuan,Qinan Guo,Wanjun Chen,Bo Zhang",06 Wide-Bandgap Power and RF Devices,0,,"Ruize Sun,Renjie Wu,Yunfei Ma,Wenhan Yuan,Qinan Guo,Wanjun Chen,Bo Zhang, University of Electronic Science and Technology of China, China "
Deeply Scaled Gate Field Plate to Suppress Drain-Induced Dynamic Threshold Voltage Instability in Schottky-,11 March 2025 (Tuesday),3:30pm,afternoon," Multifunction Hall 2&3, 2/F, 17W",T-6-4-3,3:00pm to 4:30pm,EDTM25-000233,Deeply Scaled Gate Field Plate to Suppress Drain-Induced Dynamic Threshold Voltage Instability in Schottky-Type p-GaN Gate HEMT,"This letter proposes a Schottky-type p-GaN gate HEMT with deeply scaled gate field plate (GFP) to suppress drain-induced dynamic threshold voltage (Vth) instability. Under high VDS, the channel beneath GFP pinches off and screens capacitive coupling between drain and p-GaN, resulting in alleviated dynamic Vth shift, which is verified by TCAD simulations and experiments. Design and optimizations are fully investigated by simulations. Proposed structure also exhibits decent transfer, breakdown and capacitance characteristics, showing feasibility of this technology. ","Chen Wang,Xin Wang,Junjie Yang,Hongjie Peng,Wenbo Xia,Jiayin He,Ju Gao,Chengkang Ao,Ziheng Liu,Jin Wei,Jinyan Wang",06 Wide-Bandgap Power and RF Devices,0,,"Chen Wang,Xin Wang,Junjie Yang,Hongjie Peng,Wenbo Xia,Jiayin He,Ju Gao,Chengkang Ao,Ziheng Liu,Jin Wei,Jinyan Wang, Peking University, China "
9-kV p-GaN Gate HEMT with Gate Termination Extension Demonstrated on Sapphire Substrate for Improved,11 March 2025 (Tuesday),3:45pm,afternoon," Multifunction Hall 2&3, 2/F, 17W",T-6-4-4,3:00pm to 4:30pm,EDTM25-000126,9-kV p-GaN Gate HEMT with Gate Termination Extension Demonstrated on Sapphire Substrate for Improved Breakdown Voltage,"In this work, a 9-kV E-mode p-GaN gate HEMT with gate termination extension (GTE-HEMT) is demonstrated on sapphire substrate. The GTE-HEMT with LGD = 77 μm exhibits a low RON of 39.5 Ω·mm and a specific RON of 34.76 mΩ·cm2. Moreover, the gate termination extension effectively reduces the electric filed peak at the gate edge, leading to a high breakdown voltage of 9582 V and an excellent figure of merit (FOM) of 2.64 GW/cm2.","jingjing yu,Junjie Yang,Jiawei Cui,Hao Chang,Sihang Liu,Yunhong Lao,Xuelin Yang,Xiaosen Liu,Jin Wei,Maojun Wang,Bo Shen",06 Wide-Bandgap Power and RF Devices,0,,"jingjing yu,Junjie Yang,Jiawei Cui,Hao Chang,Sihang Liu,Yunhong Lao,Xuelin Yang,Xiaosen Liu,Jin Wei,Maojun Wang,Bo Shen, Peking University, China "
Investigation of Enhanced Robustness Against Floating-Substrate-Induced Dynamic RON Degradation in 900-V,11 March 2025 (Tuesday),4:00pm,afternoon," Multifunction Hall 2&3, 2/F, 17W",T-6-4-5,3:00pm to 4:30pm,EDTM25-000267,Investigation of Enhanced Robustness Against Floating-Substrate-Induced Dynamic RON Degradation in 900-V p-GaN Gate HEMT Using Virtual-Body Technology,"In this work, the enhanced robustness against floating-substrate-induced dynamic RON degradation in 900-V p-GaN gate HEMT with virtual body (VB-HEMT) is investigated. By adopting floating Si substrate, the breakdown voltage is boosted to 1779 V. Hole injection and buried AlGaN are found both essential for the formation of virtual body to suppress floating-substrate-induced negative buffer trapping effects. The VB-HEMT shows a superior dynamic RON/static RON ratio of 1.43 after 900-V VDS-OFF stress with floating substrate.","Hao Chang,junjie yang,Jingjing Yu,jiawei cui,youyi yin,han yang,xuelin yang,jinyan wang,maojun wang,bo shen,jin wei",06 Wide-Bandgap Power and RF Devices,0,,"Hao Chang,junjie yang,Jingjing Yu,jiawei cui,youyi yin,han yang,xuelin yang,jinyan wang,maojun wang,bo shen,jin wei, Peking University, China "
Optimized Electric Field Distribution and Dynamic Performance in GaN HEMTs using Segmented-Extended p-,11 March 2025 (Tuesday),4:15pm,afternoon," Multifunction Hall 2&3, 2/F, 17W",T-6-4-6,3:00pm to 4:30pm,EDTM25-000112,Optimized Electric Field Distribution and Dynamic Performance in GaN HEMTs using Segmented-Extended p-GaN Gate Structures,"A segmented-extended p-GaN gate (SEP) structure for AlGaN/GaN HEMTs was developed to address electric field challenges and enhance dynamic RON. The SEP structure, combining traditional and extended p-GaN gate designs, demonstrated improvements in OFF-state electric field distribution and dynamic RON compared to traditional designs. 3D TCAD simulations revealed that reduced segmented dimensions significantly benefit OFF-state electric field modulation, providing insights into optimizing both reliability and dynamic performance in GaN power devices.","Xinyue Dai,Haiyang Li,Qimeng Jiang,Xiaoping Wang,Yuxi Wan",06 Wide-Bandgap Power and RF Devices,0,,"Xinyue Dai,Haiyang Li,Qimeng Jiang,Xiaoping Wang,Yuxi Wan, Shenzhen Pinghu Laboratory, China "
Compact Modeling of GaN Based RF Switches,11 March 2025 (Tuesday),3:00pm,afternoon," INNO2 Multifunction Hall 1, 2/F, 17W",T-7-4-1,3:00pm to 4:30pm,EDTM25-000589,Compact Modeling of GaN Based RF Switches,"This work introduces a SPICE-compatible compact model for GaN-based dual-gate RF switches. The model is width-scalable and improves accuracy in RF, large-signal, and harmonic balance simulations by using a robust gate network to represent the distributed nature of the serpentine gate. The model is validated against experimental data for multiple device peripheries.","Yogesh Singh Chauhan,Mir Mohammad Shayoub,Ahtisham Pampori,Mohammad Sajid Nazir",07 Modelling and Simulation,1,[Invited],"Yogesh Singh Chauhan, IIT Kanpur, India "
Physics of Operation of GaN Power Devices: Modeling Device and Circuit Effects using MIT Virtual Source,11 March 2025 (Tuesday),3:20pm,afternoon," INNO2 Multifunction Hall 1, 2/F, 17W",T-7-4-2,3:00pm to 4:30pm,EDTM25-000642,Physics of Operation of GaN Power Devices: Modeling Device and Circuit Effects using MIT Virtual Source GaNFET (MVSG) Model,"We present a framework to capture essential physics of operation of devices built on Gallium Nitride technology for High-Voltage (HV) and power applications. Devices include Unidirectional (UDS) and Bi-directional Switches (BDS) that span voltages between 60-650V. The modeling framework is based on well-known industry standard MVSG Verilog-A compact model platform. The model is proven to distill essential device physics to predict device-circuit interactions in power conversion applications. In this work, we show the model comparison against DC-IVs, CVs, switching measurements of UDS and BDS along with a demonstration of slew-rate prediction; a key device-circuit interaction effect. Secondary effects such as self-heating, charge-trapping, P-GaN gate-dynamics are also highlighted.","Ujwal Radhakrishna,Daiyao Xu,Kaiman Chan,Tim Merkin,Ryan Fang,Johan Alant,Lan Wei",07 Modelling and Simulation,1,[Invited],"Ujwal Radhakrishna, Texas Instruments, USA "
TDA (Thermal Design Automation) for Multiscale Thermal Managements of GaN HEMTs,11 March 2025 (Tuesday),3:40pm,afternoon," INNO2 Multifunction Hall 1, 2/F, 17W",T-7-4-3,3:00pm to 4:30pm,EDTM25-000091,TDA (Thermal Design Automation) for Multiscale Thermal Managements of GaN HEMTs,"A TDA (Thermal Design Automation) system is proposed for multiscale thermal simulation and design of Gallium Nitride (GaN) High Electron Mobility Transistors (HEMTs). By integrating first-principle calculations, machine learning potential-driven lattice dynamics, phonon Monte Carlo, and finite element methods, etc., TDA enables precise device-level electro-thermal simulations and designs. This approach has the potential to significantly enhance the accuracy and efficiency of thermal management for GaN HEMTs and other electronic devices.",Bingyang Cao,07 Modelling and Simulation,1,[Invited],"Bing-Yang Cao, Tsing Hua University, China "
Characterization of self-heating using the AC conductance method,11 March 2025 (Tuesday),4:00pm,afternoon," INNO2 Multifunction Hall 1, 2/F, 17W",T-7-4-4,3:00pm to 4:30pm,EDTM25-000644,Characterization of self-heating using the AC conductance method,"The AC conductance method to determine the thermal resistance Rth is reviewed and demonstrated for several device types. A comparison is made with pulsed measurements, which are typically found to be too slow for reliable Rth determination of modern devices.","Andries Scholten,Ralf Pijper,Thanh Viet Dinh",07 Modelling and Simulation,1,[Invited],"Andries Scholten, NXP Semiconductors, The Netherlands "
Benefits of Using High-Resistivity Substrates for RF Ics,11 March 2025 (Tuesday),4:20pm,afternoon," INNO2 Multifunction Hall 1, 2/F, 17W",T-7-4-5,3:00pm to 4:30pm,EDTM25-000687,Benefits of Using High-Resistivity Substrates for RF ICs,"Compared to low-resistivity wafers commonly used in CMOS, high-resistivity substrates offer many advantages for radio-frequency integrated circuits. This comprehensive study reveals various benefits of using high-resistivity substrates for radio-frequency integrated circuits, validated in both passive devices and circuits implemented in a foundry 22nm fully-depleted silicon-on-insulator technology.","Xunyu Li,Albert Wang,Cesar RODA NEVE,Ionut Radu",07 Modelling and Simulation,0,[Invited],"Albert Wang, University of California, Riverside, United States "
An energy-efficient microwave magnetic field generator for NV center quantum magnetometers based on an,11 March 2025 (Tuesday),3:00pm,afternoon," Function Hall, 1/F, 12W",T-10-4-1,3:00pm to 4:30pm,EDTM25-000591,An energy-efficient microwave magnetic field generator for NV center quantum magnetometers based on an array of four injection-locked VCOs,"This paper proposes the use of chip-integrated LC voltage-controlled oscillators (VCOs) as the B1 field source in NV diamond-based magnetometers. VCOs provide a compact, energy-efficient solution by directly converting DC power into the microwave B1 field required for NV center control, bypassing conventional RF amplification stages. Additionally, the VCO’s intrinsic frequency agility, enabled by the varactor inside the LC tank, which simultaneously changes the resonant frequency of the LC resonator and the oscillation frequency, ensures a near-constant B1 field across the tuning range. Current state-of-the-art chip-integrated diamond magnetometers, while showing promising results, typically make use of classical transmitter architectures, in general, providing a lower energy efficiency compared to the presented VCO-based approach. With its very good energy efficiency, the proposed VCO-based approach offers a path to scalable, low-power NV-based magnetometers suitable for portable and embedded applications. To provide a sufficiently large active area for typical diamond samples, the presented VCO-based $B_1$ generator uses an array of four injection-locked VCOs. An on-chip phase-locked loop (PLL) precisely defines the frequency of the B1 field from an external reference. The design is validated using electrical measurements that reflect the key metrics of the target quantum magnetometry application.","Hadi Lotfi,Qing Yang,Tarek Elrifai,Michal Kern,Jens Anders","10 Sensor, MEMS, Bio-Electronics",1,[Invited],"Jens Anders, University of Stuttgart, Germany "
