,index,transaction,title,abstract,authors,track,invited
288,289,EDTM25-000435,Flexible and Skin-Compatible rGO/PVDF Composite Sensor for Multi-Functional On-Skin Applications,"This study presents an electrospinning rGO/PVDF composite sensor designed for on-skin applications, leveraging rGO’s conductivity and PVDF’s flexibility. Fabricated through CO₂ laser patterning and transfer onto a PVDF nanofiber network, the sensor demonstrates high sensitivity in acoustic detection, voiceprint recognition, and gesture control. It reliably captures frequencies up to 15,000 Hz and differentiates voice and gesture patterns, showcasing potential in wearable health monitoring and human-machine interaction.","Zijia Su,Luqi Tao,Liwei Liang,Zhifei Xie,Tianling Ren,Yi Yang",12 Nanotechnologies,0
289,290,EDTM25-000436,Modelling and Design of Short Channel Ferroelectric FETs with a Metal Interlayer easing the Multilevel Operation,"This work presents a simulation study of a ferroelec- tric field effect transistor (FeFET), which leverages a metal interlayer to achieve a multilevel operation thanks to the interplay between the ferroelectric polarization and the charge stored in the interlayer. We show that the metal interlayer can effectively stabilize the ferroelectric polarization even for a negligible charge trapping in the dielectric stack and, moreover, enable a multilevel operation even for a uniform ferroelectric polarization.","Chiara Rossi,Daniel Lizzit,David Esseni",07 Modelling and Simulation,0
290,291,EDTM25-000438,Effect of pulse schemes on multi-level switching and short-term instability in 1T1R configuration,"This study investigates the characteristics and short-term stability of multi-level storage in 1T1R structures under single-pulse and multi-pulse programming schemes with varying step-size. The findings indicate that, due to limitations in the transistor's transfer characteristics, the read current distributions become narrower as the current value increases. The multi-pulse programming scheme enables finer resistance tuning, but there is no significant advantage over the current distribution obtained by the single-pulse scheme at the same current level. Furthermore, the current under the single-pulse scheme exhibits better short-term stability.","Xiaohua Liu,Felix Cüppers,Dennis Nielinger,Susanne Hoffmann-Eifert,Rainer Waser,Stefan Wiefels",04 Memory Technologies,0
291,292,EDTM25-000440,Comprehensive Modeling of Ferroelectric Tunnel Junctions: Variability Analysis and Device Design,"In this work, we develop a model that comprehensively captures the physical mechanisms of ferroelectric tunnel junctions (FTJ) of the metal-ferroelectric-insulator-metal (MFIM) structure. This model utilizes kinetic Monte Carlo (KMC) statistical distributions to capture nucleation-limited switching of multi-domain ferroelectrics and accurately describes the I-V characteristics of MFIM across the full voltage region. Through this model, we quantify the device-to-device variation of FTJ and propose strategic approaches to mitigate this variability by refining grains and optimizing pulse waveform. Additionally, the design space of material parameters for enhancing FTJ performance under non-saturated polarization is investigated, providing design insights for neuromorphic computing applications.","Jiajun Qiu,Ning Ji,Hao Li,Ning Feng,Runsheng Wang,Ru Huang,Lining Zhang",04 Memory Technologies,0
292,293,EDTM25-000441,Cryogenic SEKV Compact Model Applied to 22 nm FDSOI Enabling Low-temperature Circuit Simulation,"This paper introduces the sEKV compact model for cryogenic circuit simulation, addressing the key challenge of cryo-CMOS circuit validation. This model accurately represents the transistor and circuit DC characteristics at both room and cryogenic temperatures of a commercial 22 nm FDSOI technology using only a few parameters. It serves as a practical alternative solving the lack of PDKs currently available for the design of cryo-CMOS circuits. To reach a wider audience, the Verilog-A code of the model is available as open source.","Hung-Chi Han,Yating Zou,Batuhan Keskin,Edoardo Charbon,Christian Enz",07 Modelling and Simulation,1
293,294,EDTM25-000443,Flexible Organic Artificial Nerves for Next-Generation Computing and Neuroprosthetics,"Organic artificial nerves (OANs), designed to mimic biological neural processes like real-time, event-driven information processing, hold great promise for soft robotics, neuroprosthetics, and next-generation computing. By controlling synaptic plasticity of organic artificial synapses, OANs achieve both short- and long-term plasticity, replicating biological sensory signal processing. Notably, they also mimic structures and functions of afferent and efferent nerves, enabling hybrid reflex arcs and coordinated movement in living organisms, with potential to revolutionize various neuromorphic applications.","Tae-Woo Lee,Dae-Gyo Seo,Min-Jun Sung,Gyeong-Tak Go,Yeongjun Lee",11 Flexible and Wearable Electronics,1
294,295,EDTM25-000444,An RRAM-based Multi-Mode and Pipelined Pooling Scheme in Computing-in-Memory for Convolutional Neural Networks,"RRAM-based computing-in-memory acceleration for convolutional neural networks (CNNs) has shown promising advancements across various fields. In this work, to further accelerate the pooling operations between convolution layers, we propose an RRAM-based pooling scheme for CIM that enables in-suit pooling without extra data transfer and supports flexible switching between multi-mode (max, sum, and mean) pooling functions. We achieve pipelined operation by integrating RRAM arrays and ADCs within the CIM system. Validation using the VGG-11 architecture demonstrates a significant reduction of 10.4× in latency and 9.9× in energy consumption with negligible accuracy loss (0.04%@6 bit).","Yi Gao,Yimao Cai,Ru Huang,Zongwei Wang,Lin Bao",04 Memory Technologies,0
295,296,EDTM25-000445,"Nanocrystalline Perovskite: A Route to High-Efficiency, Vivid Display Technologies","Lead halide perovskites have emerged as promising candidates for next-generation vivid display technologies, offering exceptional color purity, superior optical and electrical properties, and cost-effective fabrication. Although various techniques have been developed to enhance the luminescence efficiency and stability of perovskite light-emitting diodes, they still fall short of reaching the performance standards achieved by traditional organic or inorganic quantum dot-based LEDs. This work will delve into the unique advantages of nanocrystalline perovskite for future vivid displays and strategic approaches to improve the luminescence efficiency of films/devices, focusing on precisely engineered nanostructure. These advancements highlight the potential of nanocrystalline perovskite to lead the way as pioneering self-emissive display materials. ",Tae-Woo Lee,"05 Photonics, Imaging and Display",1
296,297,EDTM25-000447,Temperature Dependent Back-hopping in Spin Transfer Torque Switching of Perpendicular Magnetic Tunnel Junctions,"This work systematically investigated the magnetoresistance switching behavior and back-hopping mechanisms of p-MTJs at high temperatures (up to 360 K). Experimental results show that the TMR ratio and the switching voltage (VC) of p-MTJs decrease with increasing temperature due to reduced magnetic anisotropy. The back-hopping phenomenon, characterized by random resistance state fluctuations, occurs with increasing pulse voltage. Systematic analysis reveals that back-hopping results from weakening antiferromagnetic coupling under high-voltage pulse excitation, leading to flipping of the reference layer. As temperature rises, the switching voltage associated with back-hopping decreases.",Yapeng Zhao,04 Memory Technologies,0
297,298,EDTM25-000448,Selective-Ferroelectricity-Defining Method Utilizing Directional Oxygen Plasma Treatment for Optimizations of Hf0.5Zr0.5O2-based Memory Devices,"We present a method to control the ferroelectricity in specific regions of Hf0.5Zr0.5O2 (HZO) through directional oxygen plasma treatment. Using this method, the ferroelectricity can be selectively eliminated in the treated areas, and leakage currents up to ten times lower than untreated areas can be achieved after rapid thermal annealing (RTA), allowing HZO in the treated regions to be used as the ideal gate dielectric. This method streamlines the fabrication process by reducing the number of steps needed to design and prototype ferroelectric devices. In this way, it can facilitate the integration of ferroelectric devices with regular access transistors and has promising potential to simplify fabrication process and reduce cost in mass productions.","Yi Ding,Mingcheng Shi,Yuyan Wang,Bowen Shen,Wen Sun,Benjamin Yang,Yanbo Su,Huanan Liu,Jian Yuan,Jianshi Tang,Bin Gao,He Qian,Huaqiang Wu",04 Memory Technologies,0
298,299,EDTM25-000449,"BEOL-Compatible Multi-layer ITO-ZnO-ITO Channel FETs Achieving Enhanced Mobility, Positive VTH Shift, and Improved PBTI","In this work, we present ultra-thin body bottom-gate ITO-ZnO-ITO FETs by sandwiching a thin ZnO layer between two ITO layers. Using a low thermal budget process of less than 250 ℃, our long channel ITO-ZnO-ITO FETs demonstrate ~28% enhancement in field-effect mobility (µeff), improved positive bias temperature instability (PBTI), and more positive shift of the threshold voltage (VTH) compared to the 2.5 nm-thick ITO FETs. We further scaled down the ITO-ZnO-ITO FET with channel length (Lch) as small as 50 nm, achieving a high on-current (ION) of 652 µA/µm.","Ying Xu,Yiyuan Sun,Zijie Zheng,XIAO GONG","02 Process, Tools, Yield, and Manufacturing",0
299,300,EDTM25-000452,Synergistic Optimization of Thermal and Electrical Performances in Hetero-integrated β-Ga2O3 SBDs,"This work combines 3D Raman thermography with electrothermal simulations to study the thermal behaviors of hetero-integrated β-Ga2O3-on-SiC (GaOISiC) and β-Ga2O3 bulk Schottky barrier diodes (SBDs). It shows the benefits of hetero-integration in significantly enhancing heat dissipation. Moreover, we optimize the electrode layouts in GaOISiC SBDs by balancing electrical and thermal characteristics to improve performance. These techniques are beneficial for accurate temperature measurement and effective heat dissipation, which are crucial for β-Ga2O3-based devices.","Yinfei Xie,Yang He,Zhengyue Li,Wenhui Xu,Tiangui You,Xin Ou,Huarui Sun",09 Packaging and Heterogenous Integration,0
300,301,EDTM25-000454,"Selecting Device, In-Memory Search, and Monolithic 3D Integration of RRAMs and 2D Devices Towards High Reliability and High Efficiency","Resistive random-access memories (RRAMs) are highly promising for high-density memory and energy-efficient in-memory computing. Towards the integration of RRAM arrays, the sneak path leakage and IR drop problem need to be alleviated and the memory density should be further enhanced. Here we develop the consistent RRAM model, demonstrate two-dimensional (2D) selectors and one-selector-one-selector (1S1R) memory cells, perform monolithic 3D integration of 2D transistors and vertical RRAMs (VRRAMs), and show the promise for in-memory search applications. ","Rui Yang,Yueyang Jia,Maosong Xie,Minliang Shen,YIjian Zhang,Yuzhuo Liu",08 Reliability and testing,1
301,302,EDTM25-000455,Adaptive Update Precision with Reduced Iterative Write Cycles for Efficient Training Neural Networks on ECRAM arrays,"Training neural networks in large-scale non-volatile memory arrays suffers from stochastic conductance modulation and device variations, requiring closed-loop write iterations to achieve desired update precisions. Here we propose an adaptive algorithm combining static evaluation of network structure and real-time network activity to substantially reduce write iterations without compromising performance. Our method improves energy efficiency by up to ×81 and ×242 for VGG19 and ResNet18, while maintaining high training accuracy.","Peihong Li,Peng Chen,Peng Lin,Gang Pan",04 Memory Technologies,0
302,303,EDTM25-000457,Twisted-placed Multilayer Stack for Inherent Suppression of Transverse modes of Layered SAW Devices,"This study explores a novel twisted-placed multilayer structure with inherent spurious transverse suppression for shear-horizontal surface acoustic wave (SH-SAW) devices. By adjusting the twisted angle of 45° between lithium tantalate (LT) and Si (100) substrate, the slowness curve of material stack was twisted vertically to enhance spectrum purity while inherently suppressing transverse modes. The fabricated resonators based on the twisted-placed multilayer demonstrated a significant reduction in transverse modes compared to traditional stacks, ensuring a cleaner spectrum without compromising performance. This method presents a promising advancement in RF filter technology for next-generation communications.","Boyuan Xiao,Sulei Fu,Peisen Liu,Xinchen Zhou,Qiufeng Xu,Jiajun Gao,Shuai Zhang,Rui Wang,Cheng Song,Fei Zeng,Weibiao Wang,Feng Pan","10 Sensor, MEMS, Bio-Electronics",0
303,304,EDTM25-000458,A Novel Low Loss Superjunction MOSFET with Hybrid Conduction Modes,"A novel superjunction MOSFET with hybrid conduction modes (HCM SJ-MOSFET) is proposed. The proposed HCM SJ-MOSFET can operate in unipolar conduction mode in the N- pillar and bipolar conduction mode in P- pillar, which dramatically reduces the specific on-resistance (Ron,sp) by 61.5% in comparison with the conventional SJ-MOSFET (Con SJ-MOSFET). Besides, the conductivity modulation in the P- pillar of the HCM SJ-MOSFET helps reduce its turn-off loss (Eoff) and turn-on loss (Eon) by 56.6% and 33.3%, respectively.","Yun Xia,Gang Chen,Yuxi Wan,Wanjun Chen,Ruize Sun,Xiaoming Wang,Yan Wang,Xiaoping Wang",07 Modelling and Simulation,0
304,305,EDTM25-000459,Graphene/Silicon Pixel Array with Integrated Imaging and Readout System,"Driven by advances in intelligent imaging and sensing technologies, the integration between novel materials and silicon (Si)-based optoelectronics processes is significantly expanding the functionality of optoelectronic devices. Herein, we have fabricated a state-of-the-art graphene (Gr)/Si heterojunction photodetector with 3x3 pixel array, demonstrating promising photoelectric detection behavior. This work provides a simplified device model for performance simulation and designed a readout circuit that enhances efficiency and reduces noise, achieving effective signal processing for Gr/Si integrated imaging and readout.","Yuan Ma,Zongwen Li,Youshui He,Qianqian Zhang,Yunfei Xie,Zhi-Xiang Zhang,Feng Tian,Muhammad Abid Anwar,Muhammad Malik,Srikrishna Chanakya Bodepudi,Bin Yu,Yuda Zhao,Yang Xu","05 Photonics, Imaging and Display",0
305,306,EDTM25-000464,Effect of fin dimensions on the performance of GaN-on-Si Fin-HEMTs,"The influence of fin dimensions variation on characteristics the AlGaN/GaN Fin-HEMTs on Si are reported in this work. The device with the fin widths of 250 nm exhibited a maximum drain current of 1.5 A/mm, a peak transconductance of 314 mS/mm, a gate voltage swing of 3.7 V, a cut-off frequency fT of 35 GHz, and a maximum oscillation frequency fmax of 78 GHz. Good performance demonstrates its potential for cost-effective microwave wave applications.","Mengdi Li,Jiejie Zhu,Lingjie Qin,Bowen Zhang,Yuxi Zhou,Mingchen Zhang,Yichong Ding,Yuchen Qian,Xiaohua Ma,Yue Hao",06 Wide-Bandgap Power and RF Devices,0
306,307,EDTM25-000465,Surface Potential-based Compact Model for IGZO-DRAM Enables the TCAD-to-SPICE Framework for Reliability-aware DTCO Flow,"With the Design-Technology Co-Optimization (DTCO) being increasingly significant in IGZO-DRAM, a surface potential-based compact model is highly required. For better understanding the disorder effects, an in-house TCAD tool is proposed to study sub-threshold properties. On this basis, a unified surface potential based compact is provided with underlying transport mechanisms for various structures. By addressing critical reliability issues, such as D2D and C2C variability, it enables the TCAD-to-SPICE framework for realizing a reliability-aware DTCO flow of IGZO-DRAM.","Wenfeng Jiang,Chen Gu,Yue Zhao,Di Geng,Guanhua Yang,Lingfei Wang,Xufan Li,Ling Li",07 Modelling and Simulation,1
307,308,EDTM25-000466,Optimization of the Read Transistor in Hybrid 2T0C DRAM by Co-modeling the Drain Current of a-IGZO and Low Temperature Poly-Silicon TFTs,"A hybrid 2T0C DRAM cell with an n-type write transistor and a p-type read transistor is analyzed by modeling the characteristics of a-IGZO and LTPS-TFTs respectively. Both models are based on surface potential calculation and verified with experiments. Dynamic trap effect is involved as well. The simulation results demonstrate the advantage of hybrid 2T0C DRAM over full n-type DRAM in sense margin. The trade-off between memory window, retention and write/read speed has to be taken into account to design the read transistor size. Our work proposes a guideline for 2T0C DRAM design.","Haolin Li,Xiaoyan Liu,Zheng Zhou",07 Modelling and Simulation,0
308,309,EDTM25-000467,"Enhanced Performance of P-FeFETs with TiN:2.5nm/Mo/TiN Gate Stacks for 3-bit-per-cell Operation, 3.5V Read-after-Write, and High Endurance (10⁹ Cycles) in Compute-in-Memory Applications","This study examines the performance of P-type FeFETs with various gate stacks, focusing on the TiN:2.5nm/Mo/TiN electrode. XPS and interface trap density (Dits) analyses confirm that ultra-thin barrier of TiN (b-TiN) suppresses Mo oxidation and carrier trapping in HZO, enhancing the memory window and reducing Vth variability. The sandwiched structure improves write speed, switching time, and low-voltage read-after-write operations. In neural network applications, b-TiN/Mo/TiN ensures more linear conductance and faster accuracy convergence, driving computational efficiency for CIM technologies. This work addresses the potential of b-TiN/Mo/TiN in enhancing FeFET reliability, endurance, and performance for neuromorphic and CIM applications.",Cheng-Yen TSAI,04 Memory Technologies,0
309,310,EDTM25-000468,Dual-Functional Volatile and Nonvolatile Resistive Switching Characteristics of Cu/Ga₂O₃/Pt Memristor Deposited via Electron Beam Evaporation,"In this work, we investigate the dual functionality of volatile and nonvolatile memory in Cu/Ga₂O₃/Pt memristor by tuning the compliance current. These devices, fabricated using electron beam evaporation, demonstrate impressive nonvolatile memory switching characteristics, including low switching voltages, 102 switching cycles, >103 s data retention, and >102 HRS/LRS ratio. Our work provides an effective and straightforward fabrication technique for using Ga₂O₃ in the development of advanced memristors.","Nan He,Zi Li,Shuai Chen,Hao Zhang,Xinpeng Wang,Lei Wang,Yi Tong","02 Process, Tools, Yield, and Manufacturing",0
310,311,EDTM25-000469,Enabling Broader Memory Windows by Double-Gate Nanosheet Ferroelectric FETs for Next-Generation Non-Volatile Storage,"This work introduces a lateral electric field-driven transistor with an asymmetric double-gate nanosheet (DGNS) design, achieving a balance between ferroelectric (FE) layer scaling and memory window (MW) expansion. Precise digital etching and self-aligned etching techniques define the active area and form NS channels, enhancing fabrication efficiency. The design separates read and write functions, utilizing body effect and a high channel surface-to-volume ratio to expand the MW without sacrificing electrostatic integrity. These advancements support the device’s potential for next-generation electronics and memory technologies.","Fang Wu,Jun-Yong Chiu,Tsung-Ying Lin,Cheng-Hung Wu,Vita Pi-Ho Hu,Pin Su,Chun-Jung SU",04 Memory Technologies,0
311,312,EDTM25-000479,On-chip photon-mediated magnon-superconducting qubit system and its quantum application,"On-chip hybrid system utilizing photon-mediated coupling between magnon and superconducting qubit is proposed in this paper. By integrating a magnetic thin film in the z-axis with superconducting circuits, quantum operations between two-level magnon modes and qubit are enabled without increasing the circuit footprint, controlled by external magnetic field. Physical parameters of the coupled system are obtained using the proposed Multiphysics model following our design framework. Finally, we demonstrated the behavior of the system and performed quantum operations based on the Hamiltonian model.","Jiacheng LIU,Ferris Prima Nugraha,Qiming SHAO",07 Modelling and Simulation,0
312,313,EDTM25-000480,Reduced Process Induced Threshold Voltage Variability in Bulk Negative Capacitance Junctionless Transistors,"This work provides a comprehensive analysis of threshold voltage (Vth) variability (σVth) in negative capacitance (NC) junctionless (JL) transistors on siliconon- insulator (SOI) and bulk substrates through well-calibrated simulations. Bulk NCJL transistors show improved performance due to a shift in the conduction channel towards the front surface, which improves the gate capacitance (Cgg) and enhances the negative capacitance in bulk NCJL devices. The results highlight a significant reduction in σVth by ~89 %, ~91 %, ~60 %, ~80 %, and ~56 % due to the variations in gate length (Lg), silicon film thickness (Tsi), equivalent oxide
thickness (EOT), channel doping (Nch), and ferroelectric thickness (Tfe), respectively. Additionally, the reduced Vth variability further translates to an enhanced noise margin (NM) and improved process induced NM variations in inverter circuits. The results reported for the first time showcase the superior performance of bulk NCJL designs compared to SOI NCJL transistors.","Ruma S R,Vita-Pi Ho Hu,Manish Gupta",07 Modelling and Simulation,0
313,314,EDTM25-000482,Optimal transfer learning strategies for property predictions in materials science,"Materials science is a domain characterised by ‘small’ datasets (i.e., < 10,000 datapoints) of critical properties that govern performance of various applications and devices. For instance, there are no large, reliable datasets available for several key ‘performance determining’ metrics in energy applications, such as diffusivities in battery electrodes, carrier recombination rates in photovoltaics, and molecular adsorption energies for catalysis. On the other hand, there are reasonably ‘large' datasets (> 100,000 datapoints) available on some properties, such as, bulk formation enthalpies, computed band structures, and crystal structures across wide chemical spaces. Thus, if key chemical, compositional, and structural trends can be captured in available large datasets and subsequently transferred (or re-learnt), it will enable the use of deep learning and graph based neural network models in smaller datasets as well. Hence, my talk will explore the utility of current transfer learning (TL) approaches that are available for computational materials science and identify optimal ways to employ TL-based strategies. Specifically, TL involves training a neural network model on a larger dataset and subsequently retraining a fraction of the model on a smaller dataset. I will quantify the accuracy, transferability, and efficiency of TL models compared to models that have been trained from scratch. Finally, I will focus on TL models that can generalise over multi-properties during pre-training and can efficiently be re-trained on small datasets, which pave the way towards creating more general, foundational models, in the near future.","Sai Gautam Gopalakrishnan,Reshma Devi,Keith Butler",EDS Special Session,1
314,315,EDTM25-000485,Invertible Prediction Model for Si3N4 Wet Etching Using DHF,"Optimizing semiconductor fabrication is challenging due to numerous recipe parameters. This study explores various nozzle operations and wafer rotation speeds to enable selective Si3N4 etching using dilute hydrogen fluoride (DHF). By using measured etching rate, the invertible model dependent on the nozzle scanning period is constructed, enabling determination of etching recipes for the desired ER results. The model is sufficiently accurate for complex scanning patterns, providing a practical tool for process optimization.","Koki Shibata,Takashi Ota,Koji Ando,Naoko Misawa,Chihiro Matsui,Ken Takeuchi","02 Process, Tools, Yield, and Manufacturing",0
315,316,EDTM25-000488,"The Demonstration of Scalable-HZO/ZrO2 FeFET with Large Memory Window of 2.3V for 3bit-per-cell, Immediate Read after Write, High Endurance of 109 cycles, and The High Accuracy of 92% for Machine Learning.","In this study, we show that using HZO/ZrO₂ as a ferroelectric layer in FeFETs outperforms HZO alone. The thick HZO layer forms a low-defect-density ZrO₂ layer, enhancing the ON/OFF ratio, memory window, and reducing leakage. Interface defects for the 5/3(5nm/3nm), 7/3(7nm/3nm), and 9/3(9nm/3nm) structures were analyzed, revealing optimal performance at 9/3 due to uniform domain growth and low defect density. The 9/3 structure achieved faster polarization switching and high write speed. Despite a smaller ON/OFF ratio, it exhibited excellent Gmax/Gmin linearity, crucial for neural networks. Machine learning tests demonstrated 92% accuracy in 20 epochs, highlighting its AI application potential.",Huang sheng tsang,04 Memory Technologies,0
316,317,EDTM25-000489,A Fan-Out Wafer-Level Packaging-Based THz Communication Transceiver System for High-Speed Chip-to-Chip Wireless Interconnect Applications,"This paper presents the design of a THz communication transceiver system based on fan-out wafer-level package (FOWLP) technology for high-speed chip-to-chip (C2C) wireless interconnect applications. The design focus on the transceiver (TR), antenna in package (AiP)s, and interconnect transition structures, integrating coaxial-like structures and coplanar waveguide (CPW) transmission line transitions to enable low-loss signal transmission across both vertical and horizontal pathways. Simulation results show that the proposed FOWLP structures achieve an insertion loss of less than 1 dB and a return loss greater than 10 dB within the 25-60 GHz range for the local oscillator (LO) frequency band. The AiP provides an impedance match of -15 dB within the 200-230 GHz range for the radio frequency (RF) band. Link budget calculations further verify that the proposed system enables C2C communication at data rates up to 10 Gbps, highlighting its potential for advanced interconnect applications.proposed structures can achieve insertion loss less than 1 dB and return loss greater than 10 dB within the 25-60 GHz frequency band. antenna-in-package (AiP) achieves an impedance of -15 dB within the 200-230 GHz range. Finally, through link calculations, C2C communication at a rate of 10 Gbps can be achieved.","Si Rui Liu,Ya Fei Wu,Zong Rui He,Yu Jian Cheng,Yang Chai",09 Packaging and Heterogenous Integration,0
317,318,EDTM25-000490,Temperature-dependent Characteristics of Field-Effect Mobility in MOCVD-Grown β-Ga2O3 MOSFETs on Sapphire Substrate,"β-Ga2O3 MOSFETs were fabricated based on the heteroepitaxial β-Ga2O3 film grown on the sapphire substrate by metalorganic chemical vapor deposition (MOCVD). Thanks to the high epitaxial quality and an optimized Si+ implantation and activation process, a high field effect mobility (μFE) of 35 cm2/V·s was achieved at a high carrier density(ne) near the surface exceeding 1018 cm-3. As the temperature rises, the density of ionized impurities increases, and Coulombic scattering becomes the dominant mechanism, resulting in the enhancement of μFE from 35 cm2/V·s to 55 cm2/V·s when the temperature increases from 25℃ to 300℃. The μFE is the highest reported for heteroepitaxial Ga2O3 devices on sapphire substrates.","zheng jun,liu chenyu,hu haodong,liu yan,jia xiaole,wang yibo,wu yiyang,li bochang,yu chunxiao,fang cizhe,hao yue,han genquan",06 Wide-Bandgap Power and RF Devices,0
318,319,EDTM25-000493,Content Addressable Memory Hierarchies for Computing in Memory,"Content Addressable Memories (CAMs) match input data to stored content, ideal for search-intensive tasks like network address lookup and similarity matching. This paper explores CAM hierarchies (similar to the standard RAM hierarchy), focusing on two implementation layers: non-volatile, analog Content Addressable Memory (aCAM) for static data patterns, and volatile, gain cell-based aCAM for dynamic tasks. Mitigating key non-idealities in memristor-based aCAMs increases storage from 2 to 4 bits per cell, enhancing performance, capacity, and energy efficiency for Compute in Memory (CIM) applications.","Paul Manea,Nathan Leroux,John Paul Strachan",04 Memory Technologies,1
319,320,EDTM25-000494,High Performance Ge FinFET CMOS Inverter with Plasma-Enhanced Supercritical Fluid Treatment,"A plasma-enhanced supercritical phase fluid (SCF) process is proposed on a Ge FinFET CMOS inverter to resolve the insufficient oxidation in large-size chamber and unavailable nitridation effects with SCF system. The metastable low oxidation state components and interface traps in high-k and interfacial layer are clearly reduced by supplemented oxygen and nitrogen radicals in SCF. As a result, Ge FinFET with enhanced oxidation and partially nitridation (EOPN)-SCF treatment exhibit better electrical performance and reliability characteristics.","Dun-Bao Ruan,Zefu Zhao",03 Advanced Semiconductor (Logic) Devices,0
320,321,EDTM25-000496,6-inch GaN-on-Si Gold-Free Fabrication Technolgies for Monolithic Microwave Integrated Circuits (MMICs),"We have fabricated GaN HEMTs with gate lengths of 0.5 µm and 0.25 µm on 6-inch silicon-based GaN substrates using a gold-free process. The 0.5 µm devices exhibit a maximum drain current density (Idmax) of 680 mA/mm, a peak transconductance (Gmax) of 230 mS/mm, and small-signal characteristics with a cutoff frequency (fT) and maximum oscillation frequency (fmax) of 19 GHz and 28 GHz, respectively. Continuous wave (CW) loadpull measurements at 3.6 GHz demonstrate an output power density of 3.1 W/mm, a peak power added efficiency (PAE) of 43.5%, and a linear gain of 20 dB. The 0.25 µm devices show a maximum drain current density (Imax) of 979 mA/mm, a peak transconductance (Gmax) of 286 mS/mm, and small-signal characteristics with a cutoff frequency (fT) and maximum oscillation frequency (fmax) of 34 GHz and 50 GHz, respectively. CW loadpull measurements at 10 GHz yield an output power density of 2.71 W/mm, a peak power added efficiency (PAE) of 44.5%, and a linear gain of 12 dB. The low and uniform ohmic contact resistance (Rc) of 0.2-0.3 Ω·mm across the wafer indicates the potential for high-performance and cost-effective 6-inch GaN with silicon CMOS compatibility for RF applications.","Xiaojin Chen,Zhihong Liu,Jin Zhou,Peiyu Mao,Tong Wang,Zhenyuan Li,Hu Wei,Hanghai Du,Weichuan Xing,Weihang Zhang,Xiangdong Li,Jincheng Zhang,Yue Hao","02 Process, Tools, Yield, and Manufacturing",0
321,322,EDTM25-000497,Electrical and Thermal Characterization of Hetero-integrated β-Ga2O3-on-Diamond SBDs by Transfer Printing Technology,"Hetero-integrated β-Ga2O3-on-diamond (GaOD) SBDs were fabricated using transfer printing technology. The GaOD SBDs showed a more uniform Schottky barrier than the β-Ga2O3 Bulk (GaO Bulk) SBDs. Pulse I-V characteristics revealed a significantly reduced self-heating effect in GaOD SBDs compared to GaO Bulk SBDs. The device thermal resistance was as low as 16.69 K/W, only 1/11 of that of GaO Bulk SBDs. This work offers a promising solution for efficient heat dissipation in high-power devices integrated with diamond substrates.","Tiangui You,Xin Ou,Zhenyu Qu,Tiancheng Zhao,jiang haodong,Yeliang Wang,Xinbo Zou,Min Zhou,Wenhui Xu",09 Packaging and Heterogenous Integration,0
322,323,EDTM25-000498,Electrical Transport at n-Ga2O3/n-SiC Hetero-interface Constructed by Hydrophilic and Surface Activated Bonding,"The n-Ga2O3/n-SiC (GaOSiC) hetero-structure was achieved by ion-cutting process based on surface activated bonding (SAB) and hydrophilic bonding (HB) techniques. The HB GaOSiC hetero-interface showed an amorphous layer of only ~1 nm, contributing to 16.87% of the total on-resistance (Ron,total) for the GaOSiC structure, which is much less than that of the SAB hetero-interface. The low interface resistance (Ri) of HB GaOSiC structure provides a feasible path towards the vertical β-Ga2O3 power electronics with high power operating capability and acceptable heat dissipation performance.","Zhenyu Qu,Wenhui Xu,jiang haodong,Tiancheng Zhao,Yeliang Wang,Haowen Guo,Xinbo Zou,Min Zhou,Tiangui You,Xin Ou",09 Packaging and Heterogenous Integration,0
323,324,EDTM25-000499,Experimental Investigation of Inserted HfO2 Impact on VFB and Interface via ALD for La2O3 Dipole-first Multi-VT Techniques,"An inserted HfO2 approach is proposed to achieve VFB tuning and interface improvement in La2O3 dipole-first gate stack via ALD. A series of VFB levels were achieved with 61 mV linear-tuning step and 310 mV tuning range by manipulating inserted HfO2 thickness (<5Å) ahead of La2O3/HfO2 stacks in MOSCAPs. Furthermore, the device performance and interface are improved indeed. These results indicate that the proposed approach provides a promising way for advanced NS-GAA multi-VT techniques.","Yanzhao Wei,Jiaxin Yao,Yu Wang,Qingzhu Zhang,Huaxiang Yin","02 Process, Tools, Yield, and Manufacturing",0
324,325,EDTM25-000504,Thermal management and interfacial tuning of heterogeneously integrated wide-bandgap semiconductor devices,"Poor thermal management has hindered electronics toward high-power development. Herein, novel thermal-spreading strategies for wide-bandgap heterostructures were systematically investigated. For example, thermal properties (TBR, thermal conductivity) of polycrystalline diamond grown on or as substrate replacements as-well-as bonding to GaN-HEMT were measured by transient-thermoreflectance. A-series-of high-thermal-conductivity interface-buffer-layer materials and diamond growth parameters were designed to compare their effects on TBR and thermal conductivity. The thermal management optimization of diamond integrated GaN-HEMT devices were also explored. In addition, the interfacial structure/stress tuning and the hidden coupling mechanism were revealed. This work provides essential guidance for integration design of material-growth and bonding to further unleash the heat-dissipation performance of wide-bandgap electronics.","Yan Zhou,Shi Zhou,Shun Wan",09 Packaging and Heterogenous Integration,0
